Oscilloscope data. 
Time step = 10,00 uS
Voltage step = 31,25 mV
Zero level = 91

N 	Smpl.	Trig

0	104	0
1	91	0
2	83	0
3	85	0
4	94	0
5	108	0
6	124	0
7	136	0
8	141	0
9	136	0
10	126	0
11	109	0
12	92	0
13	77	0
14	69	0
15	69	0
16	79	0
17	92	0
18	106	0
19	119	0
20	124	0
21	121	0
22	110	0
23	93	0
24	76	0
25	61	0
26	53	0
27	53	0
28	61	0
29	74	0
30	90	0
31	102	0
32	108	0
33	106	0
34	96	0
35	78	0
36	61	0
37	48	0
38	39	0
39	39	0
40	48	0
41	61	0
42	77	0
43	90	0
44	96	0
45	94	0
46	85	0
47	70	0
48	53	0
49	39	0
50	32	0
51	32	0
52	40	0
53	54	0
54	70	0
55	85	0
56	93	0
57	92	0
58	84	0
59	69	0
60	53	0
61	39	0
62	32	0
63	32	0
64	41	0
65	56	0
66	73	0
67	88	0
68	97	0
69	98	0
70	90	0
71	77	0
72	61	0
73	48	0
74	41	0
75	41	0
76	51	0
77	66	0
78	84	0
79	99	0
80	109	0
81	111	0
82	104	0
83	91	0
84	76	0
85	64	0
86	56	0
87	56	0
88	66	0
89	80	0
90	99	0
91	115	0
92	125	0
93	127	0
94	121	0
95	108	0
96	93	0
97	80	0
98	72	0
99	72	0
100	81	0
101	96	0
102	114	0
103	130	0
104	140	0
105	144	0
106	137	0
107	125	0
108	108	0
109	94	0
110	86	0
111	86	0
112	94	0
113	109	0
114	125	0
115	142	0
116	152	0
117	153	0
118	148	0
119	135	0
120	118	0
121	104	0
122	94	0
123	93	0
124	100	0
125	113	0
126	129	0
127	145	0
128	155	0
129	157	0
130	149	0
131	136	0
132	120	0
133	104	0
134	93	0
135	92	0
136	96	0
137	109	0
138	125	0
139	140	0
140	149	0
141	151	0
142	144	0
143	129	0
144	112	0
145	97	0
146	85	0
147	81	0
148	85	0
149	97	0
150	112	0
151	128	0
152	136	0
153	138	0
154	131	0
155	117	0
156	99	0
157	82	0
158	70	0
159	66	0
160	70	0
161	81	0
162	95	0
163	110	0
164	120	0
165	121	0
166	114	0
167	101	0
168	84	0
169	66	0
170	54	0
171	49	0
172	53	0
173	64	0
174	79	0
175	94	0
176	103	0
177	106	0
178	100	0
179	87	0
180	70	0
181	53	0
182	40	0
183	36	0
184	40	0
185	51	0
186	66	0
187	82	0
188	93	0
189	96	0
190	90	0
191	79	0
192	62	0
193	46	0
194	34	0
195	29	0
196	34	0
197	45	0
198	61	0
199	77	0
200	89	0
201	93	0
202	90	0
203	78	0
204	62	0
205	48	0
206	36	0
207	32	0
208	37	0
209	48	0
210	64	0
211	81	0
212	94	0
213	100	0
214	96	0
215	86	0
216	72	0
217	57	0
218	45	0
219	42	0
220	47	0
221	59	0
222	76	0
223	93	0
224	107	0
225	113	0
226	112	0
227	102	0
228	86	0
229	72	0
230	61	0
231	57	0
232	62	0
233	74	0
234	91	0
235	108	0
236	123	0
237	129	0
238	128	0
239	119	0
240	104	0
241	89	0
242	78	0
243	74	0
244	78	0
245	90	0
246	106	0
247	124	0
248	138	0
249	145	0
250	143	0
251	134	0
252	120	0
253	104	0
254	93	0
255	86	0
256	90	0
257	101	0
258	117	0
259	134	0
260	148	0
261	155	0
262	152	0
263	144	0
264	128	0
265	112	0
266	100	0
267	93	0
268	96	0
269	105	0
270	120	0
271	136	0
272	150	0
273	157	0
274	154	0
275	145	0
276	129	0
277	112	0
278	98	0
279	91	0
280	92	0
281	101	0
282	115	0
283	130	0
284	144	0
285	149	0
286	147	0
287	137	0
288	121	0
289	103	0
290	89	0
291	80	0
292	81	0
293	88	0
294	102	0
295	117	0
296	130	0
297	136	0
298	133	0
299	123	0
300	107	0
301	90	0
302	74	0
303	65	0
304	64	0
305	72	0
306	85	0
307	100	0
308	112	0
309	119	0
310	117	0
311	107	0
312	92	0
313	73	0
314	58	0
315	48	0
316	48	0
317	55	0
318	69	0
319	83	0
320	96	0
321	104	0
322	103	0
323	93	0
324	78	0
325	60	0
326	46	0
327	36	0
328	36	0
329	43	0
330	56	0
331	72	0
332	86	0
333	94	0
334	94	0
335	85	0
336	70	0
337	54	0
338	40	0
339	31	0
340	30	0
341	38	0
342	52	0
343	69	0
344	83	0
345	93	0
346	93	0
347	86	0
348	72	0
349	56	0
350	41	0
351	34	0
352	34	0
353	42	0
354	56	0
355	74	0
356	89	0
357	100	0
358	102	0
359	96	0
360	82	0
361	66	0
362	54	0
363	45	0
364	45	0
365	53	0
366	67	0
367	85	0
368	102	0
369	112	0
370	116	0
371	110	0
372	98	0
373	84	0
374	69	0
375	61	0
376	60	0
377	68	0
378	83	0
379	101	0
380	117	0
381	128	0
382	133	0
383	128	0
384	116	0
385	100	0
386	87	0
387	78	0
388	77	0
389	84	0
390	98	0
391	116	0
392	132	0
393	144	0
394	148	0
395	142	0
396	130	0
397	115	0
398	100	0
399	91	0
400	88	0
401	95	0
402	109	0
403	125	0
404	141	0
405	152	0
406	156	0
407	150	0
408	138	0
409	122	0
410	107	0
411	96	0
412	93	0
413	99	0
414	110	0
415	127	0
416	143	0
417	153	0
418	156	0
419	151	0
420	138	0
421	121	0
422	104	0
423	93	0
424	88	0
425	93	0
426	104	0
427	120	0
428	135	0
429	145	0
430	148	0
431	142	0
432	128	0
433	112	0
434	95	0
435	82	0
436	77	0
437	80	0
438	91	0
439	106	0
440	120	0
441	130	0
442	134	0
443	128	0
444	114	0
445	96	0
446	80	0
447	68	0
448	62	0
449	64	0
450	74	0
451	88	0
452	103	0
453	114	0
454	117	0
455	112	0
456	99	0
457	82	0
458	64	0
459	52	0
460	45	0
461	48	0
462	58	0
463	73	0
464	88	0
465	99	0
466	103	0
467	98	0
468	86	0
469	69	0
470	53	0
471	40	0
472	34	0
473	37	0
474	47	0
475	62	0
476	77	0
477	89	0
478	94	0
479	91	0
480	80	0
481	64	0
482	47	0
483	35	0
484	29	0
485	32	0
486	43	0
487	59	0
488	76	0
489	88	0
490	95	0
491	92	0
492	82	0
493	67	0
494	52	0
495	39	0
496	34	0
497	37	0
498	48	0
499	64	0
500	82	0
501	96	0
502	103	0
503	101	0
504	93	0
505	78	0
506	62	0
507	52	0
508	46	0
509	49	0
510	60	0
511	77	0
512	95	0
513	109	0
514	117	0
515	116	0
516	108	0
517	94	0
518	80	0
519	68	0
520	62	0
521	65	0
522	77	0
523	93	0
524	111	0
525	126	0
526	134	0
527	134	0
528	125	0
529	112	0
530	96	0
531	84	0
532	78	0
533	81	0
534	92	0
535	108	0
536	125	0
537	140	0
538	148	0
539	148	0
540	140	0
541	125	0
542	109	0
543	96	0
544	90	0
545	92	0
546	101	0
547	116	0
548	133	0
549	148	0
550	156	0
551	155	0
552	146	0
553	133	0
554	116	0
555	102	0
556	94	0
557	94	0
558	102	0
559	117	0
560	133	0
561	147	0
562	154	0
563	154	0
564	144	0
565	130	0
566	113	0
567	98	0
568	88	0
569	88	0
570	95	0
571	109	0
572	125	0
573	138	0
574	145	0
575	144	0
576	136	0
577	120	0
578	102	0
579	86	0
580	77	0
581	76	0
582	82	0
583	95	0
584	110	0
585	124	0
586	130	0
587	130	0
588	120	0
589	105	0
590	88	0
591	72	0
592	61	0
593	60	0
594	65	0
595	78	0
596	93	0
597	106	0
598	114	0
599	113	0
600	105	0
601	90	0
602	72	0
603	56	0
604	46	0
605	44	0
606	50	0
607	62	0
608	77	0
609	92	0
610	98	0
611	100	0
612	92	0
613	78	0
614	61	0
615	45	0
616	34	0
617	32	0
618	39	0
619	52	0
620	68	0
621	83	0
622	92	0
623	94	0
624	86	0
625	72	0
626	56	0
627	41	0
628	32	0
629	30	0
630	37	0
631	50	0
632	66	0
633	82	0
634	92	0
635	95	0
636	89	0
637	77	0
638	61	0
639	48	0
640	38	0
641	36	0
642	43	0
643	56	0
644	74	0
645	90	0
646	102	0
647	105	0
648	101	0
649	88	0
650	74	0
651	59	0
652	50	0
653	48	0
654	56	0
655	69	0
656	88	0
657	104	0
658	116	0
659	120	0
660	117	0
661	104	0
662	90	0
663	77	0
664	66	0
665	64	0
666	72	0
667	85	0
668	103	0
669	120	0
670	132	0
671	137	0
672	133	0
673	122	0
674	107	0
675	93	0
676	83	0
677	80	0
678	86	0
679	100	0
680	117	0
681	133	0
682	146	0
683	151	0
684	146	0
685	135	0
686	120	0
687	105	0
688	94	0
689	91	0
690	96	0
691	108	0
692	125	0
693	141	0
694	152	0
695	157	0
696	152	0
697	141	0
698	125	0
699	109	0
700	98	0
701	93	0
702	97	0
703	108	0
704	124	0
705	139	0
706	150	0
707	155	0
708	150	0
709	138	0
710	121	0
711	104	0
712	92	0
713	86	0
714	89	0
715	99	0
716	115	0
717	129	0
718	140	0
719	144	0
720	140	0
721	128	0
722	110	0
723	93	0
724	80	0
725	73	0
726	75	0
727	85	0
728	98	0
729	114	0
730	125	0
731	128	0
732	124	0
733	112	0
734	96	0
735	78	0
736	64	0
737	57	0
738	58	0
739	68	0
740	81	0
741	96	0
742	108	0
743	112	0
744	109	0
745	97	0
746	80	0
747	62	0
748	49	0
749	41	0
750	44	0
751	52	0
752	66	0
753	81	0
754	94	0
755	99	0
756	96	0
757	85	0
758	70	0
759	53	0
760	40	0
761	32	0
762	33	0
763	42	0
764	58	0
765	74	0
766	87	0
767	93	0
768	92	0
769	81	0
770	66	0
771	50	0
772	37	0
773	30	0
774	32	0
775	42	0
776	57	0
777	74	0
778	88	0
779	94	0
780	94	0
781	86	0
782	72	0
783	56	0
784	44	0
785	37	0
786	40	0
787	49	0
788	65	0
789	83	0
790	98	0
791	106	0
792	106	0
793	98	0
794	85	0
795	70	0
796	57	0
797	51	0
798	53	0
799	63	0
800	79	0
801	97	0
802	112	0
803	122	0
804	122	0
805	114	0
806	102	0
807	87	0
808	74	0
809	68	0
810	69	0
811	80	0
812	95	0
813	112	0
814	128	0
815	138	0
816	139	0
817	132	0
818	118	0
819	102	0
820	90	0
821	83	0
822	84	0
823	93	0
824	108	0
825	125	0
826	141	0
827	150	0
828	151	0
829	144	0
830	130	0
831	114	0
832	101	0
833	93	0
834	93	0
835	101	0
836	115	0
837	132	0
838	146	0
839	156	0
840	157	0
841	149	0
842	135	0
843	118	0
844	104	0
845	94	0
846	93	0
847	100	0
848	114	0
849	129	0
850	144	0
851	152	0
852	152	0
853	144	0
854	130	0
855	113	0
856	97	0
857	86	0
858	85	0
859	91	0
860	104	0
861	119	0
862	133	0
863	141	0
864	142	0
865	133	0
866	119	0
867	101	0
868	85	0
869	74	0
870	70	0
871	76	0
872	89	0
873	103	0
874	117	0
875	125	0
876	126	0
877	118	0
878	102	0
879	85	0
880	69	0
881	57	0
882	54	0
883	59	0
884	72	0
885	85	0
886	100	0
887	109	0
888	109	0
889	103	0
890	88	0
891	71	0
892	54	0
893	43	0
894	39	0
895	44	0
896	56	0
897	72	0
898	86	0
899	95	0
900	97	0
901	91	0
902	78	0
903	61	0
904	45	0
905	33	0
906	30	0
907	36	0
908	48	0
909	64	0
910	80	0
911	90	0
912	93	0
913	88	0
914	76	0
915	60	0
916	44	0
917	33	0
918	31	0
919	36	0
920	48	0
921	65	0
922	81	0
923	93	0
924	97	0
925	93	0
926	81	0
927	66	0
928	52	0
929	41	0
930	38	0
931	45	0
932	58	0
933	74	0
934	91	0
935	104	0
936	109	0
937	105	0
938	95	0
939	81	0
940	66	0
941	56	0
942	53	0
943	59	0
944	72	0
945	89	0
946	106	0
947	119	0
948	125	0
949	122	0
950	112	0
951	97	0
952	84	0
953	72	0
954	69	0
955	75	0
956	87	0
957	104	0
958	122	0
959	135	0
960	141	0
961	139	0
962	129	0
963	113	0
964	98	0
965	88	0
966	84	0
967	88	0
968	101	0
969	117	0
970	134	0
971	147	0
972	152	0
973	150	0
974	140	0
975	124	0
976	109	0
977	96	0
978	92	0
979	95	0
980	106	0
981	122	0
982	140	0
983	152	0
984	157	0
985	154	0
986	143	0
987	128	0
988	110	0
989	97	0
990	92	0
991	95	0
992	104	0
993	120	0
994	136	0
995	147	0
996	152	0
997	149	0
998	138	0
999	121	0
