Oscilloscope data. 
Time step = 5,000 uS
Voltage step = 31,25 mV
Zero level = 26

N 	Smpl.	Trig

0	86	0
1	91	0
2	95	0
3	99	0
4	103	0
5	106	0
6	109	0
7	111	0
8	114	0
9	115	0
10	116	0
11	116	0
12	116	0
13	116	0
14	114	0
15	113	0
16	112	0
17	109	0
18	108	0
19	104	0
20	101	0
21	99	0
22	96	0
23	93	0
24	90	0
25	87	0
26	85	0
27	82	0
28	78	0
29	78	0
30	76	0
31	73	0
32	72	0
33	72	0
34	71	0
35	70	0
36	71	0
37	71	0
38	71	0
39	73	0
40	74	0
41	76	0
42	77	0
43	79	0
44	82	0
45	84	0
46	86	0
47	89	0
48	92	0
49	94	0
50	97	0
51	101	0
52	103	0
53	105	0
54	108	0
55	109	0
56	110	0
57	112	0
58	113	0
59	114	0
60	114	0
61	113	0
62	112	0
63	112	0
64	110	0
65	108	0
66	106	0
67	103	0
68	100	0
69	96	0
70	92	0
71	88	0
72	84	0
73	80	0
74	76	0
75	72	0
76	67	0
77	63	0
78	61	0
79	57	0
80	56	0
81	53	0
82	52	0
83	52	0
84	53	0
85	53	0
86	54	0
87	57	0
88	61	0
89	64	0
90	69	0
91	74	0
92	80	0
93	85	0
94	91	0
95	97	0
96	104	0
97	110	0
98	116	0
99	122	0
100	128	0
101	131	0
102	136	0
103	139	0
104	141	0
105	143	0
106	144	0
107	144	0
108	142	0
109	140	0
110	136	0
111	132	0
112	125	0
113	120	0
114	113	0
115	106	0
116	98	0
117	89	0
118	82	0
119	74	0
120	66	0
121	59	0
122	53	0
123	45	0
124	40	0
125	35	0
126	32	0
127	29	0
128	27	0
129	27	0
130	28	0
131	30	0
132	32	0
133	37	0
134	42	0
135	48	0
136	55	0
137	62	0
138	70	0
139	79	0
140	87	0
141	96	0
142	104	0
143	112	0
144	120	0
145	127	0
146	134	0
147	140	0
148	144	0
149	148	0
150	150	0
151	151	0
152	152	0
153	151	0
154	149	0
155	146	0
156	142	0
157	136	0
158	131	0
159	124	0
160	117	0
161	110	0
162	102	0
163	94	0
164	86	0
165	78	0
166	72	0
167	65	0
168	60	0
169	54	0
170	49	0
171	45	0
172	42	0
173	40	0
174	40	0
175	40	0
176	40	0
177	42	0
178	45	0
179	48	0
180	53	0
181	56	0
182	62	0
183	67	0
184	74	0
185	78	0
186	85	0
187	91	0
188	96	0
189	102	0
190	106	0
191	111	0
192	116	0
193	118	0
194	120	0
195	123	0
196	125	0
197	125	0
198	125	0
199	124	0
200	122	0
201	120	0
202	118	0
203	116	0
204	112	0
205	109	0
206	105	0
207	101	0
208	97	0
209	94	0
210	90	0
211	86	0
212	82	0
213	80	0
214	77	0
215	75	0
216	72	0
217	71	0
218	69	0
219	69	0
220	68	0
221	68	0
222	68	0
223	69	0
224	69	0
225	71	0
226	72	0
227	74	0
228	77	0
229	79	0
230	81	0
231	84	0
232	86	0
233	88	0
234	92	0
235	94	0
236	96	0
237	100	0
238	101	0
239	104	0
240	105	0
241	107	0
242	108	0
243	109	0
244	109	0
245	109	0
246	109	0
247	109	0
248	109	0
249	108	0
250	106	0
251	105	0
252	102	0
253	101	0
254	97	0
255	94	0
256	92	0
257	88	0
258	85	0
259	82	0
260	78	0
261	76	0
262	73	0
263	70	0
264	68	0
265	65	0
266	62	0
267	62	0
268	61	0
269	61	0
270	61	0
271	62	0
272	63	0
273	64	0
274	67	0
275	70	0
276	74	0
277	77	0
278	81	0
279	86	0
280	90	0
281	95	0
282	101	0
283	106	0
284	110	0
285	116	0
286	120	0
287	124	0
288	127	0
289	130	0
290	132	0
291	134	0
292	134	0
293	134	0
294	133	0
295	131	0
296	129	0
297	125	0
298	120	0
299	116	0
300	110	0
301	104	0
302	97	0
303	90	0
304	83	0
305	76	0
306	69	0
307	63	0
308	56	0
309	50	0
310	45	0
311	40	0
312	37	0
313	34	0
314	32	0
315	32	0
316	32	0
317	33	0
318	36	0
319	39	0
320	44	0
321	49	0
322	56	0
323	63	0
324	71	0
325	78	0
326	87	0
327	95	0
328	104	0
329	112	0
330	120	0
331	127	0
332	134	0
333	140	0
334	144	0
335	149	0
336	152	0
337	153	0
338	154	0
339	153	0
340	151	0
341	148	0
342	144	0
343	140	0
344	134	0
345	127	0
346	120	0
347	112	0
348	104	0
349	95	0
350	87	0
351	78	0
352	70	0
353	62	0
354	56	0
355	49	0
356	44	0
357	40	0
358	36	0
359	33	0
360	32	0
361	32	0
362	32	0
363	34	0
364	37	0
365	40	0
366	45	0
367	50	0
368	56	0
369	63	0
370	69	0
371	77	0
372	84	0
373	90	0
374	97	0
375	104	0
376	110	0
377	116	0
378	120	0
379	125	0
380	128	0
381	131	0
382	133	0
383	134	0
384	134	0
385	134	0
386	132	0
387	130	0
388	127	0
389	123	0
390	119	0
391	115	0
392	110	0
393	105	0
394	101	0
395	96	0
396	90	0
397	86	0
398	82	0
399	77	0
400	73	0
401	70	0
402	68	0
403	65	0
404	62	0
405	62	0
406	61	0
407	61	0
408	62	0
409	63	0
410	64	0
411	66	0
412	68	0
413	70	0
414	74	0
415	77	0
416	80	0
