Oscilloscope data. 
Time step = 5,000 uS
Voltage step = 31,25 mV
Zero level = 77

N 	Smpl.	Trig

0	84	0
1	83	0
2	113	0
3	159	0
4	193	0
5	199	0
6	176	0
7	140	0
8	113	0
9	105	0
10	117	0
11	136	0
12	150	0
13	156	0
14	155	0
15	147	0
16	137	0
17	127	0
18	121	0
19	123	0
20	141	0
21	167	0
22	185	0
23	183	0
24	156	0
25	115	0
26	83	0
27	81	0
28	111	0
29	155	0
30	188	0
31	195	0
32	175	0
33	144	0
34	119	0
35	112	0
36	121	0
37	136	0
38	148	0
39	153	0
40	153	0
41	148	0
42	138	0
43	125	0
44	115	0
45	119	0
46	139	0
47	168	0
48	191	0
49	189	0
50	160	0
51	117	0
52	83	0
53	80	0
54	107	0
55	149	0
56	183	0
57	189	0
58	172	0
59	145	0
60	124	0
61	119	0
62	124	0
63	136	0
64	147	0
65	153	0
66	155	0
67	151	0
68	139	0
69	121	0
70	109	0
71	113	0
72	135	0
73	169	0
74	195	0
75	194	0
76	164	0
77	120	0
78	85	0
79	81	0
80	105	0
81	145	0
82	176	0
83	183	0
84	169	0
85	145	0
86	129	0
87	123	0
88	127	0
89	137	0
90	145	0
91	153	0
92	157	0
93	153	0
94	139	0
95	119	0
96	103	0
97	105	0
98	131	0
99	169	0
100	197	0
101	199	0
102	168	0
103	124	0
104	89	0
105	83	0
106	107	0
107	141	0
108	169	0
109	176	0
110	165	0
111	147	0
112	132	0
113	127	0
114	128	0
115	135	0
116	145	0
117	155	0
118	161	0
119	159	0
120	141	0
121	116	0
122	97	0
123	99	0
124	127	0
125	169	0
126	199	0
127	201	0
128	172	0
129	128	0
130	94	0
131	88	0
132	108	0
133	140	0
134	163	0
135	170	0
136	161	0
137	147	0
138	135	0
139	129	0
140	129	0
141	135	0
142	144	0
143	157	0
144	167	0
145	164	0
146	143	0
147	115	0
148	91	0
149	93	0
150	121	0
151	165	0
152	199	0
153	203	0
154	175	0
155	132	0
156	99	0
157	93	0
158	111	0
159	137	0
160	159	0
161	165	0
162	157	0
163	147	0
164	136	0
165	129	0
166	128	0
167	132	0
168	144	0
169	160	0
170	173	0
171	170	0
172	147	0
173	113	0
174	87	0
175	88	0
176	117	0
177	163	0
178	197	0
179	202	0
180	176	0
181	137	0
182	107	0
183	99	0
184	113	0
185	137	0
186	153	0
187	161	0
188	155	0
189	147	0
190	137	0
191	129	0
192	125	0
193	128	0
194	143	0
195	163	0
196	179	0
197	176	0
198	151	0
199	113	0
200	85	0
201	83	0
202	113	0
203	159	0
204	193	0
205	199	0
206	176	0
207	140	0
208	112	0
209	105	0
210	117	0
211	136	0
212	151	0
213	156	0
214	153	0
215	147	0
216	138	0
217	128	0
218	121	0
219	124	0
220	141	0
221	167	0
222	185	0
223	183	0
224	155	0
225	115	0
226	83	0
227	81	0
228	109	0
229	154	0
230	189	0
231	195	0
232	175	0
233	143	0
234	119	0
235	112	0
236	121	0
237	135	0
238	148	0
239	153	0
240	153	0
241	148	0
242	139	0
243	125	0
244	116	0
245	119	0
246	139	0
247	169	0
248	191	0
249	189	0
250	160	0
251	116	0
252	83	0
253	80	0
254	107	0
255	149	0
256	183	0
257	189	0
258	172	0
259	145	0
260	124	0
261	117	0
262	125	0
263	136	0
264	146	0
265	153	0
266	155	0
267	151	0
268	139	0
269	121	0
270	109	0
271	113	0
272	135	0
273	169	0
274	195	0
275	195	0
276	165	0
277	119	0
278	85	0
279	81	0
280	106	0
281	146	0
282	176	0
283	183	0
284	169	0
285	146	0
286	129	0
287	123	0
288	127	0
289	136	0
290	145	0
291	153	0
292	157	0
293	155	0
294	140	0
295	119	0
296	103	0
297	105	0
298	131	0
299	169	0
300	198	0
301	199	0
302	168	0
303	124	0
304	89	0
305	83	0
306	107	0
307	142	0
308	169	0
309	177	0
310	165	0
311	147	0
312	132	0
313	127	0
314	128	0
315	135	0
316	144	0
317	155	0
318	161	0
319	159	0
320	141	0
321	116	0
322	97	0
323	99	0
324	127	0
325	168	0
326	199	0
327	201	0
328	172	0
329	128	0
330	93	0
331	88	0
332	108	0
333	139	0
334	163	0
335	171	0
336	161	0
337	147	0
338	135	0
339	129	0
340	128	0
341	133	0
342	145	0
343	157	0
344	167	0
345	164	0
346	144	0
347	114	0
348	92	0
349	93	0
350	123	0
351	165	0
352	199	0
353	203	0
354	175	0
355	132	0
356	100	0
357	93	0
358	111	0
359	137	0
360	157	0
361	164	0
362	158	0
363	147	0
364	136	0
365	129	0
366	128	0
367	131	0
368	144	0
369	161	0
370	173	0
371	171	0
372	147	0
373	113	0
374	87	0
375	88	0
376	117	0
377	163	0
378	197	0
379	201	0
380	176	0
381	137	0
382	106	0
383	99	0
384	113	0
385	136	0
386	153	0
387	160	0
388	155	0
389	147	0
390	137	0
391	129	0
392	125	0
393	128	0
394	143	0
395	163	0
396	179	0
397	177	0
398	152	0
399	113	0
400	85	0
401	84	0
402	113	0
403	159	0
404	193	0
405	199	0
406	176	0
407	140	0
408	113	0
409	105	0
410	117	0
411	137	0
412	151	0
413	156	0
414	153	0
415	147	0
416	137	0
417	127	0
418	121	0
419	124	0
420	141	0
421	165	0
422	185	0
423	184	0
424	155	0
425	115	0
426	83	0
427	81	0
428	109	0
429	155	0
430	188	0
431	195	0
432	174	0
433	143	0
434	119	0
435	112	0
436	121	0
437	135	0
438	147	0
439	153	0
440	153	0
441	149	0
442	139	0
443	125	0
444	115	0
445	119	0
446	139	0
447	169	0
448	191	0
449	189	0
450	160	0
451	117	0
452	83	0
453	79	0
454	107	0
455	151	0
456	183	0
457	189	0
458	171	0
459	145	0
460	124	0
461	117	0
462	124	0
463	136	0
464	146	0
465	153	0
466	155	0
467	151	0
468	139	0
469	121	0
470	109	0
471	112	0
472	135	0
473	169	0
474	195	0
475	195	0
476	164	0
477	119	0
478	85	0
479	81	0
480	107	0
481	145	0
482	176	0
483	183	0
484	169	0
485	147	0
486	128	0
487	123	0
488	127	0
489	136	0
490	145	0
491	153	0
492	158	0
493	154	0
494	140	0
495	119	0
496	103	0
497	105	0
498	131	0
499	169	0
500	197	0
501	199	0
502	169	0
503	124	0
504	89	0
505	83	0
506	107	0
507	143	0
508	169	0
509	177	0
510	165	0
511	147	0
512	132	0
513	127	0
514	128	0
515	135	0
516	145	0
517	155	0
518	161	0
519	159	0
520	141	0
521	116	0
522	96	0
523	99	0
524	127	0
525	168	0
526	199	0
527	201	0
528	172	0
529	128	0
530	93	0
531	87	0
532	108	0
533	139	0
534	163	0
535	171	0
536	161	0
537	147	0
538	135	0
539	129	0
540	129	0
541	133	0
542	144	0
543	157	0
544	167	0
545	163	0
546	144	0
547	114	0
548	91	0
549	93	0
550	123	0
551	165	0
552	199	0
553	201	0
554	175	0
555	132	0
556	99	0
557	93	0
558	111	0
559	137	0
560	159	0
561	164	0
562	157	0
563	147	0
564	136	0
565	129	0
566	128	0
567	131	0
568	144	0
569	161	0
570	173	0
571	169	0
572	147	0
573	113	0
574	87	0
575	87	0
576	117	0
577	162	0
578	197	0
579	201	0
580	176	0
581	136	0
582	107	0
583	99	0
584	113	0
585	136	0
586	153	0
587	160	0
588	155	0
589	147	0
590	137	0
591	129	0
592	125	0
593	128	0
594	141	0
595	163	0
596	179	0
597	177	0
598	151	0
599	113	0
600	85	0
601	83	0
602	113	0
603	159	0
604	193	0
605	199	0
606	175	0
607	140	0
608	113	0
609	105	0
610	117	0
611	136	0
612	151	0
613	156	0
614	153	0
615	147	0
616	138	0
617	127	0
618	121	0
619	124	0
620	141	0
621	165	0
622	185	0
623	183	0
624	155	0
625	114	0
626	83	0
627	81	0
628	109	0
629	155	0
630	188	0
631	195	0
632	175	0
633	143	0
634	119	0
635	112	0
636	121	0
637	135	0
638	148	0
639	153	0
640	153	0
641	148	0
642	137	0
643	125	0
644	115	0
645	119	0
646	139	0
647	168	0
648	191	0
649	189	0
650	160	0
651	117	0
652	84	0
653	79	0
654	107	0
655	149	0
656	183	0
657	189	0
658	171	0
659	145	0
660	124	0
661	117	0
662	124	0
663	136	0
664	146	0
665	153	0
666	155	0
667	151	0
668	139	0
669	121	0
670	109	0
671	112	0
672	135	0
673	169	0
674	195	0
675	195	0
676	165	0
677	120	0
678	85	0
679	81	0
680	107	0
681	145	0
682	176	0
683	183	0
684	169	0
685	147	0
686	129	0
687	123	0
688	127	0
689	136	0
690	145	0
691	153	0
692	157	0
693	154	0
694	140	0
695	119	0
696	103	0
697	105	0
698	131	0
699	169	0
700	197	0
701	199	0
702	168	0
703	124	0
704	89	0
705	83	0
706	107	0
707	141	0
708	169	0
709	177	0
710	165	0
711	147	0
712	132	0
713	127	0
714	128	0
715	135	0
716	145	0
717	155	0
718	161	0
719	159	0
720	141	0
721	116	0
722	97	0
723	99	0
724	127	0
725	168	0
726	200	0
727	201	0
728	172	0
729	128	0
730	93	0
731	88	0
732	108	0
733	139	0
734	163	0
735	171	0
736	161	0
737	147	0
738	135	0
739	129	0
740	129	0
741	133	0
742	144	0
743	157	0
744	167	0
745	164	0
746	144	0
747	115	0
748	91	0
749	93	0
750	123	0
751	165	0
752	199	0
753	202	0
754	175	0
755	132	0
756	100	0
757	93	0
758	111	0
759	137	0
760	159	0
761	164	0
762	157	0
763	146	0
764	136	0
765	129	0
766	128	0
767	132	0
768	143	0
769	160	0
770	173	0
771	169	0
772	147	0
773	113	0
774	87	0
775	87	0
776	117	0
777	163	0
778	196	0
779	201	0
780	176	0
781	136	0
782	105	0
783	99	0
784	113	0
785	136	0
786	155	0
787	159	0
788	156	0
789	147	0
790	137	0
791	129	0
792	125	0
793	128	0
794	143	0
795	163	0
796	179	0
797	176	0
798	151	0
799	113	0
800	84	0
801	84	0
802	113	0
803	159	0
804	193	0
805	199	0
806	176	0
807	140	0
808	112	0
809	105	0
810	117	0
811	136	0
812	151	0
813	155	0
814	153	0
815	147	0
816	137	0
817	128	0
818	121	0
819	124	0
820	141	0
821	166	0
822	185	0
823	183	0
824	155	0
825	115	0
826	83	0
827	81	0
828	110	0
829	153	0
830	189	0
831	195	0
832	175	0
833	143	0
834	119	0
835	113	0
836	121	0
837	136	0
838	147	0
839	155	0
840	153	0
841	149	0
842	138	0
843	125	0
844	115	0
845	119	0
846	139	0
847	168	0
848	191	0
849	189	0
850	160	0
851	117	0
852	83	0
853	80	0
854	107	0
855	149	0
856	183	0
857	189	0
858	172	0
859	145	0
860	124	0
861	119	0
862	125	0
863	136	0
864	146	0
865	153	0
866	155	0
867	151	0
868	139	0
869	121	0
870	109	0
871	113	0
872	136	0
873	169	0
874	195	0
875	195	0
876	165	0
877	119	0
878	85	0
879	81	0
880	107	0
881	147	0
882	176	0
883	183	0
884	169	0
885	146	0
886	129	0
887	123	0
888	127	0
889	136	0
890	145	0
891	153	0
892	157	0
893	155	0
894	140	0
895	119	0
896	103	0
897	105	0
898	131	0
899	169	0
900	198	0
901	199	0
902	169	0
903	124	0
904	89	0
905	83	0
906	107	0
907	143	0
908	169	0
909	176	0
910	165	0
911	147	0
912	132	0
913	127	0
914	128	0
915	135	0
916	145	0
917	155	0
918	161	0
919	159	0
920	141	0
921	116	0
922	97	0
923	99	0
924	127	0
925	168	0
926	199	0
927	201	0
928	173	0
929	128	0
930	93	0
931	88	0
932	108	0
933	139	0
934	163	0
935	171	0
936	161	0
937	147	0
938	135	0
939	129	0
940	129	0
941	133	0
942	144	0
943	157	0
944	167	0
945	163	0
946	144	0
947	114	0
948	91	0
949	93	0
950	123	0
951	165	0
952	199	0
953	203	0
954	174	0
955	132	0
956	100	0
957	93	0
958	110	0
959	137	0
960	159	0
961	164	0
962	157	0
963	147	0
964	136	0
965	129	0
966	127	0
967	131	0
968	144	0
969	160	0
970	173	0
971	169	0
972	147	0
973	113	0
974	88	0
975	88	0
976	117	0
977	161	0
978	196	0
979	201	0
980	176	0
981	137	0
982	107	0
983	99	0
984	113	0
985	136	0
986	153	0
987	160	0
988	155	0
989	147	0
990	137	0
991	129	0
992	125	0
993	128	0
994	143	0
995	163	0
996	179	0
997	176	0
998	151	0
999	113	0
