Oscilloscope data. 
Time step = 100,0 nS
Voltage step = 31,25 mV
Zero level = 77

N 	Smpl.	Trig

0	201	0
1	204	0
2	205	0
3	205	0
4	204	0
5	203	0
6	200	0
7	196	0
8	191	0
9	186	0
10	181	0
11	173	0
12	167	0
13	159	0
14	151	0
15	143	0
16	134	0
17	127	0
18	119	0
19	111	0
20	104	0
21	97	0
22	93	0
23	88	0
24	83	0
25	81	0
26	78	0
27	77	0
28	77	0
29	77	0
30	79	0
31	83	0
32	86	0
33	91	0
34	96	0
35	103	0
36	109	0
37	117	0
38	124	0
39	131	0
40	140	0
41	148	0
42	156	0
43	164	0
44	171	0
45	177	0
46	184	0
47	189	0
48	195	0
49	199	0
50	202	0
51	204	0
52	205	0
53	205	0
54	205	0
55	203	0
56	200	0
57	196	0
58	191	0
59	185	0
60	180	0
61	173	0
62	166	0
63	159	0
64	151	0
65	141	0
66	133	0
67	127	0
68	119	0
69	111	0
70	104	0
71	97	0
72	92	0
73	88	0
74	83	0
75	80	0
76	78	0
77	77	0
78	77	0
79	77	0
80	79	0
81	83	0
82	87	0
83	91	0
84	96	0
85	101	0
86	109	0
87	117	0
88	124	0
89	132	0
90	140	0
91	148	0
92	156	0
93	163	0
94	171	0
95	178	0
96	183	0
97	189	0
98	195	0
99	199	0
100	201	0
101	204	0
102	205	0
103	205	0
104	204	0
105	203	0
106	200	0
107	196	0
108	192	0
109	185	0
110	180	0
111	173	0
112	165	0
113	158	0
114	151	0
115	142	0
116	135	0
117	127	0
118	119	0
119	112	0
120	105	0
121	97	0
122	93	0
123	88	0
124	83	0
125	80	0
126	77	0
127	77	0
128	77	0
129	77	0
130	80	0
131	83	0
132	87	0
133	91	0
134	97	0
135	101	0
136	109	0
137	116	0
138	124	0
139	131	0
140	140	0
141	149	0
142	156	0
143	164	0
144	171	0
145	178	0
146	184	0
147	190	0
148	195	0
149	199	0
150	201	0
151	204	0
152	205	0
153	205	0
154	204	0
155	203	0
156	200	0
157	196	0
158	192	0
159	187	0
160	180	0
161	173	0
162	165	0
163	159	0
164	151	0
165	141	0
166	133	0
167	127	0
168	119	0
169	111	0
170	104	0
171	99	0
172	93	0
173	88	0
174	84	0
175	80	0
176	79	0
177	77	0
178	77	0
179	77	0
180	80	0
181	83	0
182	87	0
183	91	0
184	96	0
185	102	0
186	109	0
187	117	0
188	124	0
189	132	0
190	140	0
191	148	0
192	156	0
193	163	0
194	171	0
195	178	0
196	184	0
197	189	0
198	195	0
199	199	0
200	201	0
201	204	0
202	205	0
203	205	0
204	205	0
205	203	0
206	200	0
207	196	0
208	192	0
209	185	0
210	180	0
211	173	0
212	165	0
213	159	0
214	151	0
215	141	0
216	133	0
217	126	0
218	119	0
219	112	0
220	105	0
221	97	0
222	93	0
223	87	0
224	83	0
225	81	0
226	79	0
227	77	0
228	77	0
229	77	0
230	79	0
231	83	0
232	87	0
233	91	0
234	96	0
235	103	0
236	109	0
237	116	0
238	124	0
239	132	0
240	140	0
241	148	0
242	156	0
243	164	0
244	171	0
245	178	0
246	184	0
247	189	0
248	195	0
249	199	0
250	201	0
251	204	0
252	205	0
253	205	0
254	204	0
255	203	0
256	200	0
257	196	0
258	191	0
259	186	0
260	180	0
261	173	0
262	166	0
263	159	0
264	151	0
265	141	0
266	135	0
267	127	0
268	119	0
269	112	0
270	105	0
271	97	0
272	93	0
273	88	0
274	84	0
275	80	0
276	78	0
277	77	0
278	77	0
279	77	0
280	80	0
281	83	0
282	87	0
283	91	0
284	96	0
285	103	0
286	109	0
287	117	0
288	124	0
289	133	0
290	140	0
291	148	0
292	156	0
293	164	0
294	171	0
295	179	0
296	183	0
297	189	0
298	195	0
299	199	0
300	201	0
301	204	0
302	205	0
303	205	0
304	204	0
305	203	0
306	200	0
307	196	0
308	192	0
309	186	0
310	179	0
311	173	0
312	165	0
313	159	0
314	151	0
315	143	0
316	135	0
317	127	0
318	119	0
319	112	0
320	105	0
321	97	0
322	93	0
323	88	0
324	83	0
325	81	0
326	77	0
327	77	0
328	77	0
329	77	0
330	79	0
331	83	0
332	87	0
333	91	0
334	96	0
335	101	0
336	109	0
337	116	0
338	124	0
339	132	0
340	140	0
341	147	0
342	156	0
343	164	0
344	171	0
345	178	0
346	184	0
347	189	0
348	195	0
349	199	0
350	202	0
351	204	0
352	205	0
353	205	0
354	204	0
355	203	0
356	200	0
357	196	0
358	191	0
359	187	0
360	180	0
361	173	0
362	165	0
363	159	0
364	151	0
365	143	0
366	135	0
367	127	0
368	119	0
369	112	0
370	105	0
371	97	0
372	93	0
373	88	0
374	83	0
375	81	0
376	79	0
377	77	0
378	77	0
379	77	0
380	80	0
381	83	0
382	87	0
383	91	0
384	96	0
385	101	0
386	109	0
387	117	0
388	125	0
389	132	0
390	140	0
391	148	0
392	156	0
393	163	0
394	171	0
395	179	0
396	184	0
397	190	0
398	195	0
